293
10
51598	60964	65007	78711	79887	86591	95065	25.642	24.566	92863
60964	65007	78711	79887	86591	95065	92863	24.566	23.274	79954
65007	78711	79887	86591	95065	92863	79954	23.274	22.879	68658
78711	79887	86591	95065	92863	79954	68658	22.879	22.852	57339
79887	86591	95065	92863	79954	68658	57339	22.852	24.24	54107
86591	95065	92863	79954	68658	57339	54107	24.24	25.247	74224
95065	92863	79954	68658	57339	54107	74224	25.247	25.465	82152
57339	54107	74224	82152	71708	59749	62278	24.753	24.549	52053
82152	71708	59749	62278	52053	65708	41040	23.603	22.809	41177
71708	59749	62278	52053	65708	41040	41177	22.809	21.62	21048
59749	62278	52053	65708	41040	41177	21048	21.62	22.775	32538
52053	65708	41040	41177	21048	32538	49539	23.26	23.095	53313
21048	32538	49539	53313	52283	61386	43763	23.766	24.287	59672
49539	53313	52283	61386	43763	59672	70537	25.24	25.954	79072
53313	52283	61386	43763	59672	70537	79072	25.954	24.93	68603
52283	61386	43763	59672	70537	79072	68603	24.93	25.315	68484
43763	59672	70537	79072	68603	68484	76061	25.945	26.091	77086
59672	70537	79072	68603	68484	76061	77086	26.091	24.745	59956
70537	79072	68603	68484	76061	77086	59956	24.745	24.505	49931
79072	68603	68484	76061	77086	59956	49931	24.505	25.166	53233
76061	77086	59956	49931	53233	56240	48045	23.718	21.907	30704
77086	59956	49931	53233	56240	48045	30704	21.907	16.331	-27208
59956	49931	53233	56240	48045	30704	-27208	16.331	16.678	-43410
53233	56240	48045	30704	-27208	-43410	-34643	16.91	18.189	-35294
48045	30704	-27208	-43410	-34643	-35294	-20727	19.699	21.304	-8497.1
30704	-27208	-43410	-34643	-35294	-20727	-8497.1	21.304	22.284	8084.9
-27208	-43410	-34643	-35294	-20727	-8497.1	8084.9	22.284	22.265	21513
-20727	-8497.1	8084.9	21513	-16949	-11061	-9560.6	19.533	19.641	-6292.1
-8497.1	8084.9	21513	-16949	-11061	-9560.6	-6292.1	19.641	20.813	-5896.7
-11061	-9560.6	-6292.1	-5896.7	-31973	-14748	-14130	20.39	21.303	-13484
-14748	-14130	-13484	-8416.7	15787	26714	25819	23.032	22.967	27942
-14130	-13484	-8416.7	15787	26714	25819	27942	22.967	22.837	29325
-13484	-8416.7	15787	26714	25819	27942	29325	22.837	22.896	23823
-8416.7	15787	26714	25819	27942	29325	23823	22.896	23.344	43939
26714	25819	27942	29325	23823	43939	49444	24.097	24.001	50053
25819	27942	29325	23823	43939	49444	50053	24.001	23.295	45739
29325	23823	43939	49444	50053	45739	-14192	18.506	18.264	-19444
43939	49444	50053	45739	-14192	-19444	-21531	19.34	20.529	-9253.6
49444	50053	45739	-14192	-19444	-21531	-9253.6	20.529	21.536	3992.3
50053	45739	-14192	-19444	-21531	-9253.6	3992.3	21.536	23.426	30128
45739	-14192	-19444	-21531	-9253.6	3992.3	30128	23.426	23.955	49886
-14192	-19444	-21531	-9253.6	3992.3	30128	49886	23.955	24.334	54750
-9253.6	3992.3	30128	49886	54750	69615	84042	25.86	22.121	11727
54750	69615	84042	11727	-3502.4	-17141	-9845.6	21.188	22.366	-6779.7
84042	11727	-3502.4	-17141	-9845.6	-6779.7	58643	19.468	20.181	-46767
11727	-3502.4	-17141	-9845.6	-6779.7	58643	-46767	20.181	19.012	42117
-17141	-9845.6	-6779.7	58643	-46767	42117	46029	18.382	15.603	27084
58643	-46767	42117	46029	27084	17574	-24333	14.547	18.542	25459
42117	46029	27084	17574	-24333	25459	41474	18.293	19.156	36640
46029	27084	17574	-24333	25459	41474	36640	19.156	20.131	37891
17574	-24333	25459	41474	36640	37891	57100	21.591	22.136	58180
-24333	25459	41474	36640	37891	57100	58180	22.136	22.424	69410
57100	58180	69410	76123	92302	108530	119340	25.409	25.972	137220
69410	76123	92302	108530	119340	137220	127930	25.262	24.588	114050
92302	108530	119340	137220	127930	114050	91434	22.839	22.747	61271
119340	137220	127930	114050	91434	61271	59986	21.153	20.616	48460
59986	48460	44645	40236	29250	41651	44317	20.999	22.041	51851
40236	29250	41651	44317	51851	66779	96697	24.606	23.906	92071
96697	92071	96557	88741	70088	71264	89440	24.36	25.043	112780
96557	88741	70088	71264	89440	112780	128130	26.092	26.791	141160
88741	70088	71264	89440	112780	128130	141160	26.791	12.931	24094
89440	112780	128130	141160	24094	10824	24220	15.392	15.12	22020
141160	24094	10824	24220	22020	25595	26856	16.353	17.204	19156
10824	24220	22020	25595	26856	19156	34182	18.996	20.105	44335
24220	22020	25595	26856	19156	34182	44335	20.105	20.888	51841
